SensorID,SessionDurationMean,SessionBytesMean,SleepTimeMean,SleepTimeVariance
3.0,0.03758197503259,2097,3.0872768479106534,1.027655107808425
2.0,0.0206074690980392,2263,17.600842978693073,330.26270759996606
6.0,0.0210053591034482,2273,62.94858784335714,75.58195319926637
4.0,0.0200466407352941,2264,53.410923018606056,443.8363095525379
1.0,0.0210015057666666,2273,60.77794688324138,150.31416746517567
7.0,0.0201221680784313,2236,35.25120919228001,667.1775425883284
5.0,0.0222994203548387,2268,58.75201532046666,255.25745411355052
3.0,0.036383715125862,2096,3.097421754414508,1.1031717222236277
2.0,0.02020698313,2264,17.7367614519697,353.4456902075779
4.0,0.0191547331935483,2266,57.92898957730001,340.3740356719732
6.0,0.0179808051111111,2277,65.28013914365387,1.537074620796119e-05
7.0,0.0196589947,2248,43.5200927624359,761.4815897987024
1.0,0.0179084198214285,2276,62.862356212407406,78.03256981807509
3.0,0.0347152634982935,2097,3.075407610591453,1.029138458983908
6.0,0.0173065406428571,2277,65.21864586407408,0.1397391586125956
2.0,0.0200242645686274,2262,17.434687508217827,376.8168899607772
5.0,0.0173813581,2271,60.72080821827586,234.61724623739025
4.0,0.0172501596206896,2276,62.88940851178573,78.02949426139966
7.0,0.0173048479310344,2276,62.88940851178573,104.59630575138031
3.0,0.0356291912134251,2096,3.0975761277931038,1.053124820885611
2.0,0.0191850572641509,2253,16.650627983180954,325.0106975536858
6.0,0.0174503061481481,2277,65.2797288986923,3.62379272259762e-05
1.0,0.0172804168214285,2276,62.86196116170371,107.21361462768552
4.0,0.0176139048214285,2276,62.86196116170371,99.22976310868512
5.0,0.0183333199655172,2271,60.61689112021429,236.7732904346948
3.0,0.034861377237691,2097,3.055269361758504,0.959609428676776
6.0,0.01777278525,2277,65.20879318985186,0.1365644543893015
2.0,0.0187752335607476,2253,16.846476921509435,328.8753472383514
7.0,0.0178445289655172,2276,62.87990771878572,116.45245861397431
1.0,0.0178568938620689,2276,62.87990771878572,73.1281366344421
3.0,0.0350462024406779,2096,3.0540090177996606,0.9680242563515926
2.0,0.0200065953333333,2253,17.24858172123077,352.280378120816
6.0,0.0176511406785714,2277,65.20916556425927,0.1362256386246367
4.0,0.0173598815517241,2276,62.880266794107136,73.15726030515533
5.0,0.0178495884,2271,60.71198173224138,208.1945912206432
7.0,0.017718348,2276,62.88026679410715,86.32437796291927
3.0,0.0349723643424657,2097,3.078209289351629,1.073211147737113
2.0,0.0200893554363636,2247,16.058708099055043,360.1498017009755
6.0,0.0172691255925925,2277,65.29650287442307,0.0071860843250726
1.0,0.0174380199285714,2276,62.878113879074085,128.73978138466907
4.0,0.0172097511785714,2276,62.87811387907407,124.3415931992788
3.0,0.0353364107039586,2097,3.0982751542137934,1.1065385826007612
2.0,0.0201234673362068,2240,15.386156681313045,292.64569544834313
6.0,0.0181848405714285,2277,65.19560003277779,0.1937218793800824
7.0,0.0183165154827586,2276,62.86718574589287,148.9973743804175
5.0,0.0187336046666666,2271,60.69935175465518,275.434691183252
1.0,0.0180643343793103,2276,62.86718574589287,78.7158575389244
3.0,0.035394953459829,2096,3.0762027081575347,1.0087906823135442
2.0,0.0197562735576923,2257,17.047637953349515,343.23400101810324
6.0,0.0186810405185185,2277,65.28016446184616,8.28233734802032e-06
4.0,0.0186612776428571,2276,62.86238059288889,81.52662767807197
7.0,0.0186400243214285,2276,62.86238059288889,78.60802040737609
3.0,0.0373538475238879,2096,2.963520090178218,0.9673991443337734
6.0,0.0185252087142857,2277,65.27996746699999,1.5968232668222945e-05
2.0,0.0196238358761904,2253,16.947683861625002,367.0032031428656
1.0,0.0184464865517241,2276,62.94854005746429,85.59652593281132
5.0,0.0180825869,2271,60.777900745137934,210.33831990720955
4.0,0.018572314,2276,62.94854005746429,152.05884440122998
3.0,0.0351343584083601,2095,2.892929291378422,0.989861711570962
2.0,0.0200851273299999,2263,17.726322296898992,358.0820425471252
6.0,0.0188300962962962,2277,65.27991001423077,8.026483792287287e-06
7.0,0.0186662418928571,2276,62.86213556925927,129.31470684996268
1.0,0.0187663180714285,2276,62.86213556925926,84.95082971911643
3.0,0.0436232871968,2096,2.8831625405032053,1.049937191724469
6.0,0.0183911835,2277,65.2800479818148,2.9741896003674856e-05
